"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.52106479696832,0,2,6,59,0,0,0,16,1.80170061869076
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.522930860981071,0,2,6,59,0,0,0,16,1.81540483170088
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.523848639593248,0,2,6,59,0,0,0,16,1.82620242509011
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.521595487628788,0,2,6,59,0,0,0,16,1.79994968317846
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.522327882154253,0,2,6,59,0,0,0,16,1.79418647493407
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.529902976842052,0,2,6,59,0,0,0,16,1.83699065931215
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.516925353081633,0,2,6,59,0,0,0,16,1.78927583712673
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.524416716572252,0,2,6,59,0,0,0,16,1.8033741161589
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.525780663933528,0,2,6,59,0,0,0,16,1.80684862120267
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.515991236238832,0,2,6,59,0,0,0,16,1.82042753520985
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.520961149059762,0,2,6,59,0,0,0,16,1.81177877540873
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.520822864587589,0,2,6,59,0,0,0,16,1.81690821093562
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.529547498705764,0,2,6,59,0,0,0,16,1.82562149214658
