"Name","locality","Longitude","Latitude","Altitude","month","year","pet","pr","tas","tasmax","tasmin","X","pet_c","pet_scaled","pr_scaled","tas_scaled"
"Radotánské údolí","Ru",14.312,49.99823,290,1,1999,1709,35.01,1.05000000000001,4.45000000000005,-1.54999999999995,8,9.94897130499298,1.26054696328686,0.605430917814886,0.556217865070277
"Haknovec","Hk",14.19022,49.93912,287,1,2000,1550,26.03,-0.449999999999989,1.75,-3.04999999999995,5,7.50197633972094,-0.439567873862746,-0.0868757988065129,0.0649833501495097
"Císarská rokle","Cr",14.13109,49.92955,270,1,2000,1567,26.74,-0.649999999999977,1.65000000000003,-3.25,6,7.55282244213339,-0.337815355885139,-0.0918308724843352,0.0318205402062236
"Kodská stena","Ks",14.12305,49.93391,350,1,2000,1865,26.64,-0.649999999999977,1.55000000000001,-3.34999999999997,7,7.50553393528703,-0.347775770974951,-0.0816824142527909,0.0514415346846555
"Radotánské údolí","Ru",14.312,49.99823,290,1,2000,1724,26.62,-0.449999999999989,1.85000000000002,-2.94999999999999,8,7.50859029257719,-0.463516876188346,-0.115598653640392,0.0581123142610708
"Haknovec","Hk",14.19022,49.93912,287,1,2001,1109,29.14,-1.14999999999998,1.55000000000001,-4.04999999999995,5,8.14274457960856,0.0156007892718532,0.195498228871755,-0.162458375373782
"Císarská rokle","Cr",14.13109,49.92955,270,1,2001,1052,31.69,-1.25,1.45000000000005,-4.14999999999998,6,8.05940835671966,0.0258374765026732,0.346482287691954,-0.163998168755166
"Kodská stena","Ks",14.12305,49.93391,350,1,2001,1264,31.46,-1.25,1.45000000000005,-4.25,7,8.15148582605901,0.121801374530834,0.347856667829077,-0.147686986675306
"Radotánské údolí","Ru",14.312,49.99823,290,1,2001,1100,30.28,-0.949999999999989,1.75,-3.94999999999999,8,8.28947833848872,0.0881596185004041,0.198938680272161,-0.107922869341998
"Haknovec","Hk",14.19022,49.93912,287,1,2002,1738,13.7,-0.149999999999977,2.65000000000003,-3.64999999999998,5,9.61021749230386,1.05801775421834,-1.20638440371746,0.162458375373783
