"scen","rcp","year","month","densi","densf","Kits","Juveniles","Adults","date","nucleus","run","temp.pert"
"GISS-E2-H","historical",7,10,30,30,0,0,30,"1996-10-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",7,11,30,30,0,0,30,"1996-11-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",7,12,30,29,0,0,29,"1996-12-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",8,1,30,29,0,0,29,"1997-01-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",8,2,30,30,0,0,30,"1997-02-03","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",8,3,30,30,0,0,30,"1997-03-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",8,4,30,30,0,0,30,"1997-04-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",8,5,30,30,0,0,30,"1997-05-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",8,6,30,30,0,0,30,"1997-06-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",8,7,30,30,0,0,30,"1997-07-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",8,8,30,30,0,0,30,"1997-08-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",8,9,30,30,0,0,30,"1997-09-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",8,10,30,30,0,0,30,"1997-10-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",8,11,30,30,0,0,30,"1997-11-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",8,12,30,30,0,0,30,"1997-12-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",9,1,30,30,0,0,30,"1998-01-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",9,2,30,30,0,0,30,"1998-02-03","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",9,3,30,33,3,0,30,"1998-03-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",9,4,35,34,0,4,30,"1998-04-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",9,5,35,32,0,3,29,"1998-05-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",9,6,35,33,0,3,30,"1998-06-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",9,7,35,35,0,0,35,"1998-07-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",9,8,35,35,0,0,35,"1998-08-04","Donana-Aljarafe",1,"min"
