"population","focal_cov","focal_min_max","other_mean_obs","projection","lambda","focal_full","scenario","focal_scenario","other_scenario"
"SierraRetinY5","fallR","min","obs",1,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (min value) 
Other covariates = obs value","Next fall cumulative
rainfall = min value","obs value"
"Vertedero","fallR","min","obs",1,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (min value) 
Other covariates = obs value","Next fall cumulative
rainfall = min value","obs value"
"SierraCarboneraY5","prevfallR","min","obs",1,Inf,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = obs value","Previous fall cumulative
rainfall = min value","obs value"
"SierraRetinY5","prevfallR","min","obs",1,1.08287998408187,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = obs value","Previous fall cumulative
rainfall = min value","obs value"
"Vertedero","prevfallR","min","obs",1,0.984780185723874,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = obs value","Previous fall cumulative
rainfall = min value","obs value"
"SierraCarboneraY5","dens","min","obs",1,Inf,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = obs value","Aboveground density of
large individuals = min value","obs value"
"SierraRetinY5","dens","min","obs",1,Inf,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = obs value","Aboveground density of
large individuals = min value","obs value"
"Vertedero","dens","min","obs",1,0.971045883317372,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = obs value","Aboveground density of
large individuals = min value","obs value"
"SierraCarboneraY5","size","min","obs",1,Inf,"Size","Focal covariate = Size (min value) 
Other covariates = obs value","Size = min value","obs value"
"SierraRetinY5","size","min","obs",1,Inf,"Size","Focal covariate = Size (min value) 
Other covariates = obs value","Size = min value","obs value"
"Vertedero","size","min","obs",1,0.63883219923142,"Size","Focal covariate = Size (min value) 
Other covariates = obs value","Size = min value","obs value"
"SierraCarboneraY5","TSF","min","obs",1,Inf,"Time Since Fire","Focal covariate = Time Since Fire (min value) 
Other covariates = obs value","Time Since Fire = min value","obs value"
"SierraRetinY5","TSF","min","obs",1,Inf,"Time Since Fire","Focal covariate = Time Since Fire (min value) 
Other covariates = obs value","Time Since Fire = min value","obs value"
"Vertedero","TSF","min","obs",1,Inf,"Time Since Fire","Focal covariate = Time Since Fire (min value) 
Other covariates = obs value","Time Since Fire = min value","obs value"
"SierraCarboneraY5","summerT","max","obs",1,Inf,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (max value) 
Other covariates = obs value","Next summer mean max.
daily temperature = max value","obs value"
"SierraRetinY5","summerT","max","obs",1,Inf,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (max value) 
Other covariates = obs value","Next summer mean max.
daily temperature = max value","obs value"
"Vertedero","summerT","max","obs",1,Inf,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (max value) 
Other covariates = obs value","Next summer mean max.
daily temperature = max value","obs value"
"SierraCarboneraY5","prevwinterT","max","obs",1,Inf,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (max value) 
Other covariates = obs value","Previous winter mean max.
daily temperature = max value","obs value"
"SierraRetinY5","prevwinterT","max","obs",1,Inf,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (max value) 
Other covariates = obs value","Previous winter mean max.
daily temperature = max value","obs value"
"Vertedero","prevwinterT","max","obs",1,Inf,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (max value) 
Other covariates = obs value","Previous winter mean max.
daily temperature = max value","obs value"
"SierraCarboneraY5","fallR","max","obs",1,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (max value) 
Other covariates = obs value","Next fall cumulative
rainfall = max value","obs value"
"SierraRetinY5","fallR","max","obs",1,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (max value) 
Other covariates = obs value","Next fall cumulative
rainfall = max value","obs value"
"Vertedero","fallR","max","obs",1,0.975333407861906,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (max value) 
Other covariates = obs value","Next fall cumulative
rainfall = max value","obs value"
"SierraCarboneraY5","prevfallR","max","obs",1,Inf,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (max value) 
Other covariates = obs value","Previous fall cumulative
rainfall = max value","obs value"
"SierraRetinY5","prevfallR","max","obs",1,Inf,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (max value) 
Other covariates = obs value","Previous fall cumulative
rainfall = max value","obs value"
