"","sens.no.cov","sens.with.cov","driver"
"54",0.296184631538219,0.212056091474653,"temp"
"55",0.332671252239119,0.288930070987528,"temp"
"56",0.313664000419843,0.241334362933664,"temp"
"57",0.295908309088594,0.203976934775617,"temp"
"58",0.243735269356436,0.17496399253857,"temp"
"59",0.397598661290294,0.353998147896134,"temp"
"60",0.274586406042649,0.183439015214838,"temp"
"61",0.290676363509261,0.200047952801526,"temp"
"62",0.290607077198652,0.168987621000817,"temp"
"63",0.342812840871457,0.23266210585169,"temp"
"64",0.271158767852029,0.233905367503223,"temp"
"65",0.260510082466411,0.1632550757734,"temp"
"66",0.285819859885972,0.165707566628963,"temp"
"67",0.264333572262645,0.236908951150784,"temp"
"68",0.271886977520734,0.176921574897531,"temp"
"69",0.26299920788279,0.181313763477441,"temp"
"70",0.293522282639576,0.191735391141522,"temp"
"71",0.215551626789347,0.160908169882942,"temp"
"72",0.304167852840313,0.264647551259732,"temp"
"73",0.363965554039608,0.27362596092122,"temp"
"74",0.27983002364367,0.205364737922952,"temp"
"75",0.227225678104971,0.116101358630309,"temp"
"76",0.315364956830281,0.183307763117766,"temp"
"77",0.384401539125911,0.332397200642193,"temp"
"78",0.229843861215119,0.159714715888829,"temp"
"79",0.305059478992882,0.194608819882376,"temp"
"80",0.214566406233491,0.131147027014151,"temp"
"81",0.232783386599237,0.0976868727414729,"temp"
"82",0.300779061695964,0.257607794699212,"temp"
"83",0.321181149739811,0.280802888577613,"temp"
"84",0.235528095360741,0.0885531973422281,"temp"
"85",0.322141689079785,0.223532743234055,"temp"
"86",0.328129881570201,0.217212441510374,"temp"
"87",0.265715129662363,0.194301817133399,"temp"
"88",0.352489387333667,0.302220324204106,"temp"
"89",0.264698130787755,0.129586704871912,"temp"
"90",0.27118054123086,0.182364313049076,"temp"
"91",0.329928986737553,0.253488790115939,"temp"
"92",0.227155253437414,0.108162791095192,"temp"
"93",0.355924636027626,0.285491461743105,"temp"
"94",0.312981659818025,0.195795626419176,"temp"
"95",0.285785647623134,0.249553469407007,"temp"
"96",0.272436436059737,0.181622219768787,"temp"
"97",0.270834492071544,0.13692683243123,"temp"
"98",0.232334024820703,0.109734608617353,"temp"
"99",0.200872652750457,0.0790274805812809,"temp"
"100",0.292067369010458,0.153420311802574,"temp"
"101",0.180788360631322,0.143069973826805,"dens"
"102",0.251290399410826,0.1684841113837,"dens"
"103",0.134614106566257,0.0975861211665692,"dens"
"104",0.174248315777277,0.137239006377118,"dens"
"105",0.161847510095947,0.106906540059804,"dens"
"106",0.160868188988086,0.117166421868278,"dens"
"107",0.223115833340464,0.150933350383798,"dens"
"108",0.204009006570587,0.121219556455669,"dens"
"109",0.184040805686352,0.129687881604817,"dens"
"110",0.189809232192415,0.124755488740634,"dens"
"111",0.16790968870398,0.115345560321983,"dens"
"112",0.20729027362695,0.141245005897411,"dens"
"113",0.21425251923982,0.131469574356997,"dens"
"114",0.193478742301728,0.123793170364828,"dens"
"115",0.141796374555288,0.120753820517833,"dens"
"116",0.197974946838352,0.129437040308971,"dens"
"117",0.211339518099997,0.125772251505085,"dens"
"118",0.179912972430884,0.116386361244728,"dens"
"119",0.172311037072018,0.111573975697175,"dens"
"120",0.195812772546205,0.129627823833177,"dens"
"121",0.239261419721303,0.15572298147162,"dens"
"122",0.178049581996344,0.128176656566328,"dens"
"123",0.210988970038299,0.131685537751779,"dens"
"124",0.180716270961326,0.136755567474762,"dens"
"125",0.182427405818772,0.142834562385004,"dens"
"126",0.217851239066939,0.16988150141872,"dens"
