"","sens","driver","vital.rate"
"353",0.0336040380808386,"temp","R2"
"354",0.0375869023463281,"temp","R2"
"355",0.0334189777360939,"temp","R2"
"356",0.0342429337537944,"temp","R2"
"357",0.0268409630694158,"temp","R2"
"358",0.0339998247242871,"temp","R2"
"359",0.01980697703933,"temp","R2"
"360",0.0384198742623925,"temp","R2"
"361",0.0398290144960422,"temp","R2"
"362",0.0229803174390401,"temp","R2"
"363",0.0357680488360635,"temp","R2"
"364",0.0316051792465796,"temp","R2"
"365",0.0388926281471201,"temp","R2"
"366",0.0281748578026723,"temp","R2"
"367",0.022337120695714,"temp","R2"
"368",0.0317107621748733,"temp","R2"
"369",0.0321833351713993,"temp","R2"
"370",0.0287861149241895,"temp","R2"
"371",0.0318455292298567,"temp","R2"
"372",0.0316204407520096,"temp","R2"
"373",0.0419433201538463,"temp","R2"
"374",0.0310187540039996,"temp","R2"
"375",0.00332717300963188,"temp","R2"
"376",0.0434887196939674,"temp","R2"
"377",0.035645443720472,"temp","R2"
"378",0.0298244656279055,"temp","R2"
"379",0.0294308451191168,"temp","R2"
"380",0.0303053147549528,"temp","R2"
"381",0.00473862779054238,"temp","R2"
"382",0.0306019079565603,"temp","R2"
"383",0.0324445989110697,"temp","R2"
"384",0.00905002222990265,"temp","R2"
"385",0.0274541631502456,"temp","R2"
"386",0.0356264750162693,"temp","R2"
"387",0.0359134560431001,"temp","R2"
"388",0.0247320201051558,"temp","R2"
"389",0.0415764782048134,"temp","R2"
"390",0.0373687100016086,"temp","R2"
"391",0.0354063825172773,"temp","R2"
"392",0.0317387627920453,"temp","R2"
"393",0.0261737041286628,"temp","R2"
"394",0.0360561198354305,"temp","R2"
"395",0.0293948155029624,"temp","R2"
"396",0.0311817803922991,"temp","R2"
"397",0.0489772429470272,"temp","R2"
"398",0.0283239504771216,"temp","R2"
"399",0.0289092500168956,"temp","R2"
"400",0.0265707223964428,"temp","R2"
"401",0.00154582694130082,"temp","R3"
"402",0.00171264754019934,"temp","R3"
"403",0.00665560220758095,"temp","R3"
"404",0.00214108268003867,"temp","R3"
"405",0.00209639038825718,"temp","R3"
"406",0.00515033446672272,"temp","R3"
"407",0.00524749511756314,"temp","R3"
"408",0.000186796046470472,"temp","R3"
"409",0.00231917702674738,"temp","R3"
"410",0.0026270035092856,"temp","R3"
"411",0.00277505829011227,"temp","R3"
"412",0.000779283402078271,"temp","R3"
"413",0.000523020944558954,"temp","R3"
"414",0.00355219204401956,"temp","R3"
"415",0.00170329096397874,"temp","R3"
"416",0.00190184384917181,"temp","R3"
"417",0.00141491636792024,"temp","R3"
"418",0.000763743609482524,"temp","R3"
"419",0.0036150304724548,"temp","R3"
"420",0.00434003452391847,"temp","R3"
