"","Month","Year","sum_prcp","mean_tavg","mean_tmin","mean_tmax","min_tmin","max_tmax","SPEI"
"98",2,1993,2.7647744725777,-1.50089019224756,-1.02009266845871,-1.99161936410929,0.334984640710439,-0.571174119721779,1.35634509425655
"99",3,1993,0.593979229270348,-0.978562821409919,-0.996948000022359,-0.830346631513749,-1.49727362242464,-0.481116264394876,1.34024170930487
"100",4,1993,0.459036687375093,-2.11332628672572,-1.88639971971323,-2.51082179853268,-0.564112303457297,-1.84417517323208,1.58986083688202
"101",5,1993,0.448027610871505,-1.5147002401347,-1.51598258724654,-1.13406615246832,-1.20335515149097,-0.630826849299508,1.66381874825896
"102",6,1993,-0.100146628350857,-1.78301483312255,-1.75131907041208,-1.60012215530731,-2.09169572157588,-0.933603846799719,1.6965948242975
"103",7,1993,-1.26347082822212,-1.40234266892895,0.878483114398808,-3.62829779831277,-2.75808739724557,-1.16569392689461,1.52942316634281
"104",8,1993,-0.508692964085281,-0.358543015596791,-0.718372758211731,-2.50439652536583,-0.641764429247092,-0.90300391587697,1.17972165453335
"105",9,1993,-0.384099182397564,0.181924911852184,-1.05136572871828,-1.5866038522518,0.0789152702172924,-1.94316082406212,1.32560156393425
"106",10,1993,0.599475189745748,-1.89819983054994,-0.782997666944999,-0.639004154746843,-1.49719310526635,-0.14176168324186,1.56159630876485
"107",11,1993,1.00214123526223,-1.09576222727491,-1.21214469108717,-1.03327106084046,-0.939429324618861,-0.800193720677417,1.79039386434543
"108",12,1993,-0.743992554358166,-0.819785481257024,-0.851965469326686,-0.464307418713272,0.464496810898133,-0.31460682454998,1.435774553416
"109",1,1994,-1.21855860165909,-0.446321714829629,-0.391753742539239,-0.278757614704421,-1.2755834161812,-0.0400128238347585,0.987244501974252
"110",2,1994,1.08713162764174,-0.984129664615203,-0.897974030138603,-0.890616171944728,0.124202120217233,-0.359996411515678,0.639363443303949
"111",3,1994,-0.485537660515087,0.0675029957888116,-0.251099765583485,0.47829208016509,0.0809210360773379,1.10929695379782,0.395573486880972
"112",4,1994,-0.388343870971204,-0.453716851878938,-0.289008613281097,-0.119974069904499,0.144922609801359,1.27950349937296,0.24870687016951
"113",5,1994,-0.495726367922464,0.358763429032712,0.150506737702122,0.674963104789249,0.405741361667871,0.781119169448297,-0.143215663544862
"114",6,1994,-0.462416170907001,1.08223230695192,0.973047187327776,1.44900542067273,1.09419186657393,1.49991163143697,-0.428662601960151
"115",7,1994,-1.96103114978393,0.548774407318867,-0.0017403154427863,1.05584920245514,-1.06055145621772,0.227829090865565,-0.730427515675252
"116",8,1994,-1.26740339179666,0.602310493976729,0.227486968523376,1.25523591855078,0.341805041044332,1.2066424619143,-0.919268851838523
"117",9,1994,0.462018785040506,-0.0588845190573898,-0.0561189602851971,0.180976622500457,0.323562923808165,0.077555632309184,-0.747580337499581
"118",10,1994,0.232016920196291,-0.884087682736559,-0.949343986814414,-0.682906408700456,0.194048323383483,-0.595798549420757,-0.877010508128395
"119",11,1994,0.998653631180835,-1.05670279537331,-1.1499494065825,-0.976805692650323,-0.837900045957396,-0.180496545431457,-0.869386623325045
"120",12,1994,-0.560837863000243,0.206920306681637,0.114736941115806,0.217272105918962,0.0501712488990772,-0.121155870687505,-0.86741053457134
"121",1,1995,0.236213782097998,-0.438724733597754,-0.224390351021817,-0.416199424800791,-0.317570244425206,-0.461590586324287,-0.309754153460871
"122",2,1995,1.54212870225316,1.31700926095411,1.47945458219397,1.2964186225567,0.62764223867945,0.497136639438497,-0.110393157614653
"123",3,1995,2.03689784433009,-0.443515449272669,-0.488315818130637,0.0452451931231873,-0.305575614984372,1.10929695379782,0.324589664727008
