"site","transect","subQuadrat","ID","fireYear","size","sizeNext","fl","fs","fps","surv","sds","time","TSFcont","TSF","LS","stage","stageNext","abTot","abRepro","abLarge"
"SierraCarbonera",3,10,"CM3.10.3",2005,4.78749174278205,5.31811999384422,1,1,3,"1",NA,2011,6,">three","LG","SR","SR",15,14,14
"SierraCarbonera",3,10,"CM3.10.4",2005,5.37527840768417,5.77765232322266,1,1,6,"1",NA,2011,6,">three","LG","SR","LR",15,14,14
"SierraCarbonera",3,10,"CM3.10.5",2005,4.70048036579242,NA,1,1,3,"0",NA,2011,6,">three","LG","SR",NA,15,14,14
"SierraCarbonera",3,10,"CM3.10.6",2005,6.41673228251233,6.52209279817015,1,1,1,"1",NA,2011,6,">three","LG","LR","LR",15,14,14
"SierraCarbonera",3,10,"CM3.10.7",2005,5.82894561761021,6.16331480403464,1,2,4,"1",NA,2011,6,">three","LG","LR","LR",15,14,14
"SierraCarbonera",3,10,"CM3.10.8",2005,4.59511985013459,NA,1,1,3,"0",NA,2011,6,">three","LG","SR",NA,15,14,14
"SierraCarbonera",3,10,"CM3.10.9",2005,5.12989871492307,5.37527840768417,1,2,2,"1",NA,2011,6,">three","LG","SR","SR",15,14,14
"SierraCarbonera",3,10,"CM3.10.10",2005,4.83628190695148,4.51085950651685,1,1,3,"1",NA,2011,6,">three","LG","SR","SR",15,14,14
"SierraCarbonera",3,10,"CM3.10.11",2005,4.34380542185368,4.56434819146784,1,1,1,"1",NA,2011,6,">three","LG","SR","SR",15,14,14
"SierraCarbonera",3,10,"CM3.10.12",2005,5.19295685089021,5.54517744447956,1,1,7,"1",NA,2011,6,">three","LG","SR","LR",15,14,14
"SierraCarbonera",3,10,"CM3.10.13",2005,4.58496747867057,4.49980967033027,1,1,2,"1",NA,2011,6,">three","LG","SR","SR",15,14,14
"SierraCarbonera",3,10,"CM3.10.14",2005,5.17048399503815,5.27299955856375,0,NA,NA,"1",NA,2011,6,">three","LG","J","SR",15,14,14
"SierraCarbonera",3,10,"CM3.10.15",2005,4.969813299576,5.31811999384422,1,1,3,"1",NA,2011,6,">three","LG","SR","SR",15,14,14
"SierraCarbonera",4,2,"CM4.2.1",2005,5.4553211153577,5.50938833662798,1,2,1,"1",NA,2011,6,">three","LG","SR","LR",22,20,16
"SierraCarbonera",4,2,"CM4.2.2",2005,4.27666611901606,4.71849887129509,0,NA,NA,"1",NA,2011,6,">three","LG","J","SR",22,20,16
"SierraCarbonera",4,2,"CM4.2.3",2005,4.51085950651685,NA,1,1,1,"0",NA,2011,6,">three","LG","SR",NA,22,20,16
"SierraCarbonera",4,2,"CM4.2.4",2005,4.27666611901606,4.71849887129509,1,1,0,"1",NA,2011,6,">three","LG","SR","SR",22,20,16
"SierraCarbonera",4,2,"CM4.2.5",2005,4.43081679884331,4.78749174278205,1,1,1,"1",NA,2011,6,">three","LG","SR","SR",22,20,16
"SierraCarbonera",4,2,"CM4.2.6",2005,4.70048036579242,4.90527477843843,0,NA,NA,"1",NA,2011,6,">three","LG","SR","SR",22,20,16
"SierraCarbonera",4,2,"CM4.2.7",2005,5.54126354515843,5.71702770140622,1,2,3,"1",NA,2011,6,">three","LG","LR","LR",22,20,16
"SierraCarbonera",4,2,"CM4.2.8",2005,4.0943445622221,4.64439089914137,0,NA,NA,"1",4.0943445622221,2011,6,">three","LG","SD","J",22,20,16
"SierraCarbonera",4,2,"CM4.2.12",2005,4.90527477843843,NA,1,1,2,"0",NA,2011,6,">three","LG","SR",NA,22,20,16
"SierraCarbonera",4,2,"CM4.2.13",2005,4.34380542185368,4.79579054559674,1,1,2,"1",NA,2011,6,">three","LG","SR","SR",22,20,16
"SierraCarbonera",4,2,"CM4.2.14",2005,4.56434819146784,5.19295685089021,1,1,1,"1",NA,2011,6,">three","LG","SR","SR",22,20,16
"SierraCarbonera",4,2,"CM4.2.15",2005,5.27299955856375,NA,1,2,2,"0",NA,2011,6,">three","LG","SR",NA,22,20,16
"SierraCarbonera",4,2,"CM4.2.16",2005,5.71702770140622,NA,1,3,2,"0",NA,2011,6,">three","LG","LR",NA,22,20,16
"SierraCarbonera",4,2,"CM4.2.17",2005,5.37527840768417,5.31811999384422,1,2,2,"1",NA,2011,6,">three","LG","SR","SR",22,20,16
"SierraCarbonera",4,2,"CM4.2.18",2005,4.71849887129509,NA,1,1,4,"0",NA,2011,6,">three","LG","SR",NA,22,20,16
"SierraCarbonera",4,2,"CM4.2.19",2005,5.04985600724954,5.13579843705026,1,2,2,"1",NA,2011,6,">three","LG","SR","SR",22,20,16
"SierraCarbonera",4,2,"CM4.2.20",2005,5.08759633523238,NA,1,1,4,"0",NA,2011,6,">three","LG","SR",NA,22,20,16
"SierraCarbonera",4,2,"CM4.2.21",2005,4.78749174278205,NA,1,2,2,"0",NA,2011,6,">three","LG","SR",NA,22,20,16
"SierraCarbonera",4,2,"CM4.2.22",2005,4.969813299576,5.41164605185504,1,1,3,"1",NA,2011,6,">three","LG","SR","SR",22,20,16
"SierraCarbonera",4,2,"CM4.2.23",2005,6.25766758788264,2.30258509299405,1,2,2,"1",NA,2011,6,">three","LG","LR","SR",22,20,16
"SierraCarbonera",4,2,"CM4.2.24",2005,4.35670882668959,NA,1,1,2,"0",NA,2011,6,">three","LG","SR",NA,22,20,16
"SierraCarbonera",4,2,"CM4.2.25",2005,5.37527840768417,NA,1,1,1,"0",NA,2011,6,">three","LG","SR",NA,22,20,16
"SierraCarbonera",4,3,"CM4.3.1",2005,5.54126354515843,NA,1,1,1,"0",NA,2011,6,">three","LG","LR",NA,9,6,4
"SierraCarbonera",4,3,"CM4.3.2",2005,4.02535169073515,NA,0,NA,NA,"0",NA,2011,6,">three","LG","J",NA,9,6,4
"SierraCarbonera",4,3,"CM4.3.3",2005,4.27666611901606,4.59511985013459,0,NA,NA,"1",NA,2011,6,">three","LG","J","SR",9,6,4
"SierraCarbonera",4,3,"CM4.3.4",2005,4.86753445045558,5.39816270151775,0,NA,NA,"1",NA,2011,6,">three","LG","J","SR",9,6,4
"SierraCarbonera",4,3,"CM4.3.5",2005,3.91202300542815,NA,1,1,1,"0",NA,2011,6,">three","LG","SR",NA,9,6,4
"SierraCarbonera",4,3,"CM4.3.6",2005,5.07517381523383,NA,1,1,1,"0",NA,2011,6,">three","LG","SR",NA,9,6,4
"SierraCarbonera",4,3,"CM4.3.7",2005,4.18965474202643,NA,1,1,1,"0",NA,2011,6,">three","LG","SR",NA,9,6,4
