"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","gen.time","n.vr","n.pam","dens","biotic_interactions"
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000919374304577976,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000251492090826411,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",5.73179610813646e-06,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000232796395692679,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000761542729641361,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000479673556410842,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000460324974448381,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000711907955413735,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00106885549883812,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000462178889249931,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000850983352852575,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000231196974835519,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000955528658029569,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00063381851283901,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000324052867097212,0,9.8,10,47,0,0
